category,total_orders,total_revenue,avg_review_score,avg_delivery_days
cama_mesa_banho,9272,1723932.14,3.92,12.3
beleza_saude,8647,1625923.5,4.19,11.5
informatica_acessorios,6530,1563315.62,3.99,12.8
moveis_decoracao,6307,1408110.04,3.96,12.4
relogios_presentes,5495,1388699.25,4.07,12.2
esporte_lazer,7530,1357249.46,4.16,11.7
utilidades_domesticas,5743,1072820.85,4.12,10.5
automotivo,3810,835782.91,4.11,11.7
ferramentas_jardim,3448,813055.77,4.08,13.3
cool_stuff,3559,746763.39,4.19,11.9
moveis_escritorio,1254,641314.89,3.55,20.5
brinquedos,3804,604502.34,4.21,11.2
bebes,2809,526082.48,4.08,12.1
perfumaria,3086,497991.83,4.18,11.4
telefonia,4093,470162.85,4.0,12.4
