year_month,revenue,total_orders,avg_order_value
2016-10,62185.82,265,186.19
2016-12,19.62,1,19.62
2017-01,178282.1,750,181.74
2017-02,327928.86,1653,166.21
2017-03,508767.44,2546,164.22
2017-04,457050.31,2303,168.34
2017-05,707042.9,3546,164.12
2017-06,590223.9,3135,158.36
2017-07,720446.68,3872,151.01
2017-08,850611.08,4193,166.56
2017-09,1003326.07,4150,199.07
2017-10,1012420.44,4478,184.18
2017-11,1559739.87,7289,175.43
2017-12,1023434.55,5513,158.21
2018-01,1383865.26,7069,164.39
2018-02,1295740.35,6555,164.77
2018-03,1441973.39,7003,171.99
2018-04,1469136.33,6798,180.86
2018-05,1481529.96,6749,182.61
2018-06,1286923.47,6099,175.64
2018-07,1309951.88,6159,181.36
