seller_id,total_revenue,total_orders,avg_review,avg_delivery
7c67e1448b00f6e969d365cea6b010ab,510915.44,973,3.4,22.04
1025f0e2d44d7041d6cf58b6550e0bfa,310186.7,910,3.88,11.52
4a3ca9315b744ce9f8e9374361493884,300724.29,1772,3.82,13.8
1f50f920176fa81dab994f9023523100,291526.94,1399,3.99,15.17
53243585a1d6dc2643021fd1853d8905,279843.42,348,4.12,12.85
da8622b14eb17ae2831f4ac5b9dab84a,276093.09,1311,4.08,10.65
4869f7a5dfa277a7dca6462dcf3b52b2,261532.48,1124,4.12,14.74
955fee9216a65b617aa5c0531780ce60,232228.24,1261,4.09,10.29
fa1c13f2614d7b5c4749cbc52fecda94,203262.0,578,4.38,12.83
6560211a19b47992c3666cc44a7e94c0,176467.46,1819,3.95,9.11
7e93a43ef30c4f03f38b393420bc753a,174053.79,319,4.36,10.87
7a67c85e85bb2ce8582c35f2203ad736,167205.0,1145,4.26,10.56
25c5c91f63607446a97b143d2d535d31,161379.92,156,3.73,13.5
a1043bafd471dff536d0c462352beb48,150330.84,702,4.2,13.23
b37c4c02bda3161a7546a4e6d222d5b2,145319.04,4,1.4,17.0
620c87c171fb2a6dd6e8bb4dec959fc6,142929.31,722,4.28,12.44
46dc3b2cc0980fb8ec44634e21d2718e,142785.95,503,4.26,11.28
cc419e0650a3c5ba77189a1882b7556a,139936.0,1651,4.13,11.14
5dceca129747e92ff8ef7a997dc4f8ca,131860.42,322,4.0,11.18
3d871de0142ce09b7081e2b9d1733cb1,130211.88,1064,4.15,12.89
