state,actual_delivery_days,total_orders,avg_review_score
AP,27.7,67,4.28
AM,26.1,145,4.1
AL,24.1,397,3.81
PA,23.3,946,3.84
MA,21.2,717,3.74
SE,20.9,335,3.9
CE,20.3,1279,3.88
AC,20.2,80,4.13
PB,20.1,517,4.04
RO,19.2,243,4.09
RN,19.2,474,4.09
PI,18.9,476,3.92
BA,18.8,3255,3.87
PE,17.8,1593,4.03
MT,17.5,886,4.0
TO,16.7,274,4.19
ES,15.2,1995,4.01
MS,15.1,701,4.1
GO,14.9,1957,4.03
RJ,14.8,12349,3.88
RS,14.7,5344,4.08
SC,14.5,3546,4.05
DF,12.5,2080,4.05
PR,11.5,4923,4.15
MG,11.5,11354,4.12
SP,8.3,40483,4.18
